===== TRAIN HARD U-NET =====
[train] ep0 step6000 loss=0.1140 l1=0.0630
[train] ep0 step6020 loss=0.1438 l1=0.0804
[train] ep0 step6040 loss=0.0970 l1=0.0626
[train] ep0 step6060 loss=0.0900 l1=0.0498
[train] ep0 step6080 loss=0.1266 l1=0.0762
[train] ep0 step6100 loss=0.1139 l1=0.0653
[train] ep0 step6120 loss=0.1318 l1=0.0733
[train] ep0 step6140 loss=0.1674 l1=0.0981
[train] ep0 step6160 loss=0.1338 l1=0.0735
[train] ep0 step6180 loss=0.0882 l1=0.0557
[train] ep0 step6200 loss=0.0586 l1=0.0388
[train] ep0 step6220 loss=0.1210 l1=0.0671
[train] ep0 step6240 loss=0.0840 l1=0.0485
[train] ep0 step6260 loss=0.1159 l1=0.0652
[train] ep0 step6280 loss=0.0550 l1=0.0400
[train] ep0 step6300 loss=0.1543 l1=0.0788
[train] ep0 step6320 loss=0.0798 l1=0.0487
[train] ep0 step6340 loss=0.1138 l1=0.0637
[train] ep0 step6360 loss=0.1303 l1=0.0706
[train] ep0 step6380 loss=0.0835 l1=0.0464
[train] ep0 step6400 loss=0.0790 l1=0.0565
[train] ep0 step6420 loss=0.0796 l1=0.0490
[train] ep0 step6440 loss=0.0947 l1=0.0545
[train] ep0 step6460 loss=0.1051 l1=0.0561
[train] ep0 step6480 loss=0.1025 l1=0.0567
[train] ep0 step6500 loss=0.1190 l1=0.0760
[train] ep0 step6520 loss=0.0941 l1=0.0484
[train] ep0 step6540 loss=0.0888 l1=0.0514
[train] ep0 step6560 loss=0.0627 l1=0.0377
[train] ep0 step6580 loss=0.0990 l1=0.0597
[train] ep0 step6600 loss=0.0753 l1=0.0547
[train] ep0 step6620 loss=0.1272 l1=0.0722
[train] ep0 step6640 loss=0.0734 l1=0.0512
[train] ep0 step6660 loss=0.1503 l1=0.0840
[train] ep0 step6680 loss=0.1707 l1=0.1010
[train] ep0 step6700 loss=0.0817 l1=0.0495
[train] ep0 step6720 loss=0.0520 l1=0.0296
[train] ep0 step6740 loss=0.0957 l1=0.0586
[train] ep0 step6760 loss=0.0647 l1=0.0403
[train] ep0 step6780 loss=0.1775 l1=0.1027
[train] ep0 step6800 loss=0.0542 l1=0.0317
[train] ep0 step6820 loss=0.1135 l1=0.0615
[train] ep0 step6840 loss=0.1011 l1=0.0574
[train] ep0 step6860 loss=0.1240 l1=0.0847
[train] ep0 step6880 loss=0.0873 l1=0.0513
[train] ep0 step6900 loss=0.0692 l1=0.0505
[train] ep0 step6920 loss=0.1052 l1=0.0681
[train] ep0 step6940 loss=0.0914 l1=0.0493
[train] ep0 step6960 loss=0.1318 l1=0.0709
[train] ep0 step6980 loss=0.0536 l1=0.0359
[train] ep0 step7000 loss=0.1059 l1=0.0658
[train] ep0 step7020 loss=0.1039 l1=0.0577
[train] ep0 step7040 loss=0.1301 l1=0.0743
[train] ep0 step7060 loss=0.0794 l1=0.0554
[train] ep0 step7080 loss=0.0950 l1=0.0619
[train] ep0 step7100 loss=0.1342 l1=0.0718
